Actor1Name,Action_menée,Actor2Name,ActionGeo_Fullname,SQLDATE,Sentiment,Type_Evènement,Impact_Evènement
NIGERIA,Enquêter sur un crime ou une corruption,BENIN,Benin,20250115,Négatif,Coopération matérielle,Evènement déstabilisant
NIGERIA,Porter des accusations,BENIN,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
AUTHORITIES,Coopération diplomatique (non spécifiée),Inconnu,"Savalou, Collines, Benin",20250115,Positif,Coopération verbale,Evènement stabilisant
AUTHORITIES,Coopération diplomatique (non spécifiée),Inconnu,"Savalou, Collines, Benin",20250115,Positif,Coopération verbale,Evènement stabilisant
ARMED GROUP,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement stabilisant
CONGRESS,Faire une déclaration publique (non spécifié ailleurs),THE OPPOSITION,Benin,20250115,Négatif,Coopération verbale,Evènement impartial
DEMOCRATIC PARTY,Escarmouches frontalières,Inconnu,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
CONGRESS,Porter des accusations,THE OPPOSITION,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Porter des accusations,THE OPPOSITION,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
DEMOCRATIC PARTY,Porter des accusations,Inconnu,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
COUNSEL,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement impartial
LAW ENFORCEMENT AGENCIES,Torturer,PERPETRATOR,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
DEMOCRATIC PARTY,Porter des accusations,Inconnu,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
TOYOTA,Escarmouches frontalières,Inconnu,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Combattre (non spécifié),TRIBUNAL,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
CONGRESS,Accusation d'activité terroriste,BENIN,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
MEDIA,Escarmouches frontalières,Inconnu,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Faire un commentaire pessimiste,Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement déstabilisant
SPOKESMAN,Enquêter sur un crime ou une corruption,BENIN,Benin,20250115,Négatif,Coopération matérielle,Evènement déstabilisant
CONGRESS,Accusation d'activité terroriste,Inconnu,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Critiquer ou condamner,Inconnu,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Porter des accusations,Inconnu,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
NIGERIA,Critiquer ou condamner,TRIBUNAL,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Désapprouver (non spécifié),POLICE,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Fournir une aide économique,GOVERNMENT,Benin,20250115,Négatif,Coopération matérielle,Evènement très stabilisant
BENIN,Torturer,ASSAILANT,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Escarmouches frontalières,Inconnu,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Nier la responsabilité,Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement impartial
NIGERIA,Accusation d'activité terroriste,THE OPPOSITION,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
SPOKESMAN,Enquêter sur un crime ou une corruption,Inconnu,Benin,20250115,Négatif,Coopération matérielle,Evènement déstabilisant
CHINA,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,"Malanville, Atakora, Benin",20250115,Négatif,Coopération verbale,Evènement stabilisant
SAGA,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement impartial
SAGA,Faire une déclaration publique (non spécifié ailleurs),BENIN,Benin,20250115,Négatif,Coopération verbale,Evènement impartial
GUNMAN,Escarmouches frontalières,Inconnu,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
OPPOSITION PARTY,Escarmouches frontalières,TRIBUNAL,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
DEMOCRATIC PARTY,Porter des accusations,Inconnu,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Critiquer ou condamner,Inconnu,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Faire un commentaire pessimiste,Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement déstabilisant
BENIN,Porter des accusations,Inconnu,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
DEMOCRATIC PARTY,Porter des accusations,CONGRESS,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Porter des accusations,CONGRESS,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Assaut (non spécifié),POLICE OFFICER,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Porter des accusations,DEMOCRATIC PARTY,Benin,20250115,Négatif,Conflit verbal,Evènement déstabilisant
PROSECUTOR,Nier la responsabilité,Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement déstabilisant
STUDENT,Assaut (non spécifié),POLICE OFFICER,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement impartial
BENIN,Louer ou approuver,DEMOCRATIC PARTY,Benin,20250115,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),TRIBUNAL,Benin,20250115,Négatif,Coopération verbale,Evènement impartial
CRIMINAL,Nier la responsabilité,Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement déstabilisant
BENIN,Effectuer une visite officielle,Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Imposer des restrictions physiques,Inconnu,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Recevoir une visite officielle,Inconnu,Benin,20250115,Négatif,Coopération verbale,Evènement stabilisant
GOVERNMENT,Fournir une aide économique,Inconnu,Benin,20250115,Négatif,Coopération matérielle,Evènement très stabilisant
COUNSEL,Rejeter (non spécifié),Inconnu,Benin,20250115,Positif,Conflit verbal,Evènement déstabilisant
JOURNALIST,Faire un commentaire optimiste,JUDICIARY,Benin,20250115,Positif,Coopération verbale,Evènement stabilisant
NIGERIA,Consulter (non spécifié),BENIN,Benin,20250115,Positif,Coopération verbale,Evènement stabilisant
INDUSTRY,Louer ou approuver,NIGERIAN,Benin,20250115,Positif,Coopération verbale,Evènement stabilisant
INDUSTRY,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250115,Positif,Coopération verbale,Evènement impartial
BENIN,Consulter (non spécifié),NIGERIA,Benin,20250115,Positif,Coopération verbale,Evènement stabilisant
DEMOCRATIC PARTY,Escarmouches frontalières,Inconnu,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Escarmouches frontalières,Inconnu,Benin,20250115,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Louer ou approuver,DEMOCRATIC PARTY,Benin,20250116,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Porter des accusations,DEMOCRATIC PARTY,Benin,20250116,Négatif,Conflit verbal,Evènement déstabilisant
DEMOCRATIC PARTY,Faire une déclaration publique (non spécifié ailleurs),JUDICIARY,Benin,20250116,Positif,Coopération verbale,Evènement impartial
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250116,Négatif,Coopération verbale,Evènement impartial
BENIN,Faire un commentaire pessimiste,Inconnu,Benin,20250116,Positif,Coopération verbale,Evènement déstabilisant
JUDICIARY,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,Benin,20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),TRIBUNAL,Benin,20250116,Négatif,Coopération verbale,Evènement impartial
NIGERIA,Louer ou approuver,Inconnu,Benin,20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN,Faire un appel ou une demande (non spécifié ailleurs),NIGERIA,Benin,20250116,Négatif,Coopération verbale,Evènement stabilisant
INVESTOR,Faire un appel ou une demande (non spécifié ailleurs),NIGERIA,Benin,20250116,Négatif,Coopération verbale,Evènement stabilisant
INVESTOR,Faire un appel ou une demande (non spécifié ailleurs),NIGERIA,Benin,20250116,Négatif,Coopération verbale,Evènement stabilisant
SENATOR,Faire un appel ou une demande (non spécifié ailleurs),NIGERIA,Benin,20250116,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Enquêter (non spécifié),COMPANY,Benin,20250116,Négatif,Coopération matérielle,Evènement déstabilisant
SENATOR,Enquêter (non spécifié),COMPANY,Benin,20250116,Négatif,Coopération matérielle,Evènement déstabilisant
COMPANY,Coopération diplomatique (non spécifiée),Inconnu,Benin,20250116,Négatif,Coopération verbale,Evènement stabilisant
MINIST OF COMMERCE,Louer ou approuver,COMPANY,Benin,20250116,Négatif,Coopération verbale,Evènement stabilisant
SWEDEN,Faire une déclaration publique (non spécifié ailleurs),BRITISH,Benin,20250116,Négatif,Coopération verbale,Evènement impartial
SWEDEN,Combattre (non spécifié),BENIN,Benin,20250116,Négatif,Conflit matériel,Evènement très déstabilisant
SWEDEN,Faire une déclaration publique (non spécifié ailleurs),UNITED KINGDOM,Benin,20250116,Négatif,Coopération verbale,Evènement impartial
BENIN,Recevoir une visite officielle,Inconnu,"Ouidah, Atlantique, Benin",20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,Inconnu,"Ouidah, Atlantique, Benin",20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,FRANCE,"Ouidah, Atlantique, Benin",20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,FRANCE,"Ouidah, Atlantique, Benin",20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,Inconnu,"Ouidah, Atlantique, Benin",20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,Inconnu,"Ouidah, Atlantique, Benin",20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,FRANCE,"Ouidah, Atlantique, Benin",20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,FRANCE,"Ouidah, Atlantique, Benin",20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,FRANCE,"Ouidah, Atlantique, Benin",20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,Inconnu,"Ouidah, Atlantique, Benin",20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN CITY,Effectuer une visite officielle,Inconnu,Benin,20250116,Négatif,Coopération verbale,Evènement stabilisant
FIREFIGHTER,Faire un commentaire pessimiste,NEWSPAPER,Benin,20250116,Négatif,Coopération verbale,Evènement déstabilisant
BENIN,Recevoir une visite officielle,BENIN CITY,Benin,20250116,Négatif,Coopération verbale,Evènement stabilisant
BENIN CITY,Recevoir une visite officielle,Inconnu,Benin,20250116,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,FRANCE,"Ouidah, Atlantique, Benin",20250116,Positif,Coopération verbale,Evènement stabilisant
BENIN CITY,Effectuer une visite officielle,COMMUNITY,Benin,20250116,Négatif,Coopération verbale,Evènement stabilisant
